,delay
0,2.851123571395874
1,0.23583722114562988
2,0.23292326927185059
3,0.306471586227417
4,0.26337122917175293
5,0.15527987480163574
6,0.14092779159545898
7,0.15086793899536133
8,0.13079476356506348
9,0.14350008964538574
10,0.12838983535766602
11,0.15182995796203613
12,0.13727569580078125
13,0.14217782020568848
14,0.14188933372497559
15,0.1382617950439453
16,0.1323542594909668
17,0.13037681579589844
18,0.14684653282165527
19,0.1298668384552002
20,0.12004327774047852
21,0.12707161903381348
22,0.1475532054901123
23,0.11594343185424805
24,0.13979864120483398
25,0.1356217861175537
26,0.12874245643615723
27,0.17489266395568848
28,0.1136162281036377
29,0.16615986824035645
30,0.1507420539855957
31,0.11642265319824219
32,0.1533806324005127
33,0.11890435218811035
34,0.16745901107788086
35,0.14265203475952148
36,0.10911083221435547
37,0.15345001220703125
38,0.14302968978881836
39,0.14391565322875977
40,0.1498267650604248
41,0.1238713264465332
42,0.11631035804748535
43,0.12893033027648926
44,0.15130162239074707
45,0.1385035514831543
46,0.11904120445251465
47,0.1537003517150879
48,0.12727594375610352
49,0.14366483688354492
50,0.10798287391662598
51,0.1557149887084961
52,0.10529065132141113
53,0.14638972282409668
54,0.20284271240234375
55,0.12868618965148926
56,0.1681532859802246
57,0.10801196098327637
58,0.1334974765777588
59,0.16297030448913574
60,0.11600971221923828
61,0.14752769470214844
62,0.1169271469116211
63,0.11743831634521484
64,0.15271353721618652
65,0.1453561782836914
66,0.10746049880981445
67,0.14320850372314453
68,0.1602170467376709
69,0.11350178718566895
70,0.13094782829284668
71,0.17382049560546875
72,0.124237060546875
73,0.1140902042388916
74,0.19336628913879395
75,0.14824724197387695
76,0.13956403732299805
77,0.13404369354248047
78,0.11278462409973145
79,0.1595158576965332
80,0.145005464553833
81,0.10530662536621094
82,0.15539884567260742
83,0.11988973617553711
84,0.14146828651428223
85,0.11031031608581543
86,0.13723182678222656
87,0.1551830768585205
88,0.1292891502380371
89,0.15278267860412598
90,0.10722184181213379
91,0.12415480613708496
92,0.1559309959411621
93,0.11471414566040039
94,0.1403980255126953
95,0.1310255527496338
96,0.1259899139404297
97,0.12802648544311523
98,0.1426105499267578
99,0.186204195022583
100,0.12285828590393066
101,0.13695263862609863
102,0.3230404853820801
103,0.13721847534179688
104,0.13489127159118652
105,0.1296977996826172
106,0.13854074478149414
107,0.13812708854675293
108,0.4446737766265869
109,0.20369768142700195
110,0.4690225124359131
111,0.7005341053009033
112,0.24747228622436523
113,0.13458585739135742
114,0.7609958648681641
115,1.1699373722076416
116,1.1428208351135254
117,0.25095033645629883
118,1.1933908462524414
119,1.2589948177337646
120,0.1980898380279541
121,0.11473631858825684
122,0.12517261505126953
123,0.1329197883605957
124,0.11978626251220703
125,0.12318873405456543
126,0.12491440773010254
127,0.14509367942810059
128,0.1487276554107666
129,2.3740484714508057
130,0.12953495979309082
131,0.11506009101867676
132,0.16788768768310547
133,0.13106489181518555
134,0.16391777992248535
135,0.12516069412231445
136,0.14301562309265137
137,0.12208294868469238
138,0.19672203063964844
139,0.1418294906616211
140,0.1618506908416748
141,0.12644529342651367
142,0.12375617027282715
143,0.15210986137390137
144,0.12454032897949219
145,0.1245419979095459
146,4.011415481567383
147,7.1613969802856445
148,0.19219422340393066
149,8.75792407989502
150,15.377855062484741
151,0.4843156337738037
152,0.37677931785583496
153,0.11639809608459473
154,0.1315302848815918
155,0.14182305335998535
