,delay
0,0.13114404678344727
1,0.38811635971069336
2,0.03992152214050293
3,0.04835653305053711
4,0.03278088569641113
5,0.03396010398864746
6,0.09048914909362793
7,0.07825636863708496
8,0.1036076545715332
9,0.0264434814453125
10,0.03167247772216797
11,0.08326554298400879
12,0.0997314453125
13,0.12779593467712402
14,0.24508333206176758
15,0.18828463554382324
16,0.025822877883911133
17,0.0269012451171875
18,0.032251596450805664
19,0.02257990837097168
20,0.024738311767578125
21,0.029547691345214844
22,0.022859811782836914
23,0.030371427536010742
24,0.27953195571899414
25,0.02697467803955078
26,0.0256500244140625
27,0.4268052577972412
28,0.023705482482910156
29,0.35022568702697754
30,0.025943279266357422
31,0.3278777599334717
32,0.02652883529663086
33,0.020424842834472656
34,0.02242112159729004
35,0.025713443756103516
36,0.025348901748657227
37,0.02370929718017578
38,0.021389484405517578
39,0.02626323699951172
40,0.5966382026672363
41,0.021010875701904297
42,0.02655315399169922
43,0.02448415756225586
44,0.01830267906188965
45,0.540766716003418
46,0.025878190994262695
47,0.028801679611206055
48,0.028411388397216797
49,0.02184605598449707
50,0.020988941192626953
51,0.4280252456665039
52,0.09494853019714355
53,0.48636555671691895
54,0.023192167282104492
55,0.02550983428955078
56,0.6424760818481445
57,0.024923324584960938
58,0.5580980777740479
59,0.7053806781768799
60,0.026944875717163086
61,0.026463031768798828
62,0.02634882926940918
63,0.0206906795501709
64,0.021878957748413086
65,0.02538132667541504
66,0.02605915069580078
67,0.02849411964416504
68,0.02275371551513672
69,0.656768798828125
70,0.02500772476196289
71,0.021991968154907227
72,0.6880383491516113
73,0.843395471572876
74,0.02564263343811035
75,0.019432783126831055
76,0.021965742111206055
77,0.8932898044586182
78,0.03669166564941406
79,0.027574777603149414
80,0.02347111701965332
81,0.02170252799987793
82,0.021025896072387695
83,0.030156373977661133
84,0.024102449417114258
85,0.9467241764068604
86,0.02708745002746582
87,0.9727036952972412
88,0.03173112869262695
89,0.03001093864440918
90,1.0251142978668213
91,0.03156709671020508
92,0.9688498973846436
93,0.04096388816833496
94,0.03765106201171875
95,0.04189419746398926
96,0.023610353469848633
97,0.03284025192260742
98,0.034184932708740234
99,0.02346014976501465
100,0.025102853775024414
101,0.023508071899414062
102,0.022348403930664062
103,0.02554154396057129
104,0.024163246154785156
105,0.026852846145629883
106,0.02545332908630371
107,0.026457548141479492
108,0.03249359130859375
109,0.02393484115600586
110,0.02334308624267578
111,0.029664278030395508
112,0.10178637504577637
113,0.041554927825927734
114,0.03835558891296387
115,0.025450706481933594
116,0.02262711524963379
117,0.027182579040527344
118,0.03351759910583496
119,0.03430676460266113
120,0.02630448341369629
121,0.02375507354736328
122,0.022534847259521484
123,0.02937150001525879
124,0.030490875244140625
125,0.024570703506469727
126,0.04684257507324219
127,0.02604842185974121
128,0.018624305725097656
129,0.02794194221496582
130,0.020933866500854492
131,0.02308964729309082
132,0.029430866241455078
133,0.026479244232177734
134,0.029405593872070312
135,0.029114246368408203
136,0.027351856231689453
137,0.02686476707458496
138,0.022978782653808594
139,0.028042316436767578
140,0.024309158325195312
141,0.025634765625
142,0.023006200790405273
143,0.025009870529174805
144,0.01984381675720215
145,0.028475284576416016
146,0.026959657669067383
147,0.028690338134765625
148,0.037268877029418945
149,0.02814650535583496
150,0.026645183563232422
151,0.043433427810668945
152,0.03266572952270508
153,0.04033064842224121
154,0.027986764907836914
155,0.025494813919067383
156,0.03334164619445801
157,0.026546001434326172
158,0.026658058166503906
159,0.03259158134460449
160,0.024294614791870117
161,0.02355051040649414
162,0.6635375022888184
163,0.02349376678466797
164,0.020114898681640625
165,0.0189666748046875
166,0.027312040328979492
167,0.025788068771362305
168,0.02566981315612793
169,0.02628350257873535
170,0.023935794830322266
171,0.01834249496459961
172,0.018533706665039062
173,0.022668123245239258
174,0.029726743698120117
175,0.028785228729248047
176,0.03316140174865723
177,0.03614473342895508
178,0.028883934020996094
179,0.021993637084960938
180,0.02667069435119629
181,0.029000520706176758
182,0.023874759674072266
183,0.0276491641998291
184,0.03075885772705078
185,0.023801326751708984
186,0.024618864059448242
187,0.03401374816894531
188,0.022539854049682617
189,0.01959514617919922
190,0.022597312927246094
191,0.018984317779541016
192,0.019788026809692383
193,0.02652120590209961
194,0.02089667320251465
195,0.01891469955444336
196,0.015563726425170898
197,0.018686771392822266
198,0.024265766143798828
199,0.018187999725341797
200,0.029524803161621094
201,0.023365259170532227
202,0.026479482650756836
203,0.03432655334472656
204,0.0683145523071289
205,0.3998873233795166
206,0.02494192123413086
207,0.01848769187927246
208,0.0228271484375
209,0.11876392364501953
210,0.045677900314331055
211,0.021818161010742188
212,0.024756193161010742
213,0.030933141708374023
214,0.03869485855102539
215,0.0303494930267334
216,0.021200895309448242
217,0.01973128318786621
218,0.042830467224121094
219,0.03422260284423828
220,0.024976730346679688
221,0.05606222152709961
222,0.04232525825500488
223,0.02780604362487793
224,0.020911455154418945
225,0.0368497371673584
226,0.048574209213256836
227,0.030141353607177734
228,0.028832674026489258
229,0.032846689224243164
230,0.024268150329589844
231,0.0439755916595459
232,0.03434491157531738
233,0.02581644058227539
234,0.02073526382446289
235,0.03507518768310547
236,0.03482985496520996
237,0.038941383361816406
238,0.04784536361694336
239,0.049941301345825195
240,0.15815353393554688
241,0.06887364387512207
242,0.04765057563781738
243,0.032655954360961914
244,0.02858281135559082
245,0.050917625427246094
246,0.059578657150268555
247,0.04621291160583496
248,0.03222489356994629
249,0.034377336502075195
250,0.056355953216552734
251,0.06306743621826172
252,0.04671835899353027
253,0.036939144134521484
254,0.027519702911376953
255,0.036216020584106445
256,0.029787063598632812
257,0.031827688217163086
258,0.030961036682128906
259,0.0417323112487793
260,0.043390512466430664
261,0.03823709487915039
262,0.03569626808166504
263,0.03302288055419922
264,0.037186622619628906
265,0.040175676345825195
266,0.03421449661254883
267,0.023152589797973633
268,0.1382770538330078
269,0.022882938385009766
270,0.03558468818664551
271,0.022386550903320312
272,0.03322267532348633
273,0.05176281929016113
274,0.029254674911499023
275,0.029143810272216797
276,0.0260927677154541
277,0.03081369400024414
278,0.03450465202331543
279,0.031161069869995117
280,0.043738603591918945
281,0.029709577560424805
282,0.04919242858886719
283,0.03841066360473633
284,0.021088838577270508
285,0.021702289581298828
286,0.02036261558532715
287,0.027099132537841797
288,0.04515242576599121
289,0.027983665466308594
290,0.032350778579711914
291,0.024776458740234375
292,0.02841043472290039
293,0.030112266540527344
294,0.023781299591064453
295,0.04079937934875488
296,0.034163713455200195
297,0.033967018127441406
298,0.03571796417236328
299,0.1106879711151123
300,0.042662620544433594
301,0.04676175117492676
302,0.03294038772583008
303,0.0232846736907959
304,0.04362607002258301
305,0.025899410247802734
306,0.03484082221984863
307,0.024516820907592773
308,0.03653860092163086
309,0.018003463745117188
310,0.03841280937194824
311,0.03339672088623047
312,0.02521681785583496
313,0.04101133346557617
314,0.02202749252319336
315,0.04083585739135742
316,0.02025890350341797
317,0.039218902587890625
318,0.02600383758544922
319,0.020600557327270508
320,0.04377412796020508
321,0.026508569717407227
322,0.017102718353271484
323,0.031132221221923828
324,0.025393009185791016
325,0.018981218338012695
326,0.018335580825805664
327,0.017698049545288086
328,0.027094602584838867
